DL/AL-072,"Germany (Alpine)","Allgäuer Alpen",Zeiger,1994,6542,10.3508,47.4103,10.35080,47.41030,8,3,01/03/2004,31/12/2008,1,02/07/2008,DL4CW/P
DL/AL-073,"Germany (Alpine)","Allgäuer Alpen",Nebelhorn,2225,7300,10.3422,47.4219,10.34220,47.42190,10,3,01/03/2004,31/12/2008,3,19/04/2006,DL2DVE/P
DL/AL-074,"Germany (Alpine)","Allgäuer Alpen",Gundkopf,2200,7218,10.3358,47.4217,10.33580,47.42170,10,3,01/03/2004,31/12/2008,0,,
DL/AL-075,"Germany (Alpine)","Allgäuer Alpen",Rubihorn,1957,6421,10.3139,47.4247,10.31390,47.42470,8,3,01/03/2004,31/12/2008,0,,
DL/AL-076,"Germany (Alpine)","Allgäuer Alpen",Wengenkopf,2235,7333,10.35034,47.42286,10.35034,47.42286,10,3,01/03/2004,31/12/2099,8,21/07/2024,DL/M1HAX/P
DL/AL-077,"Germany (Alpine)","Allgäuer Alpen","Grosser Daumen",2280,7480,10.37556,47.44157,10.37556,47.44157,10,3,01/03/2004,31/12/2099,11,19/05/2024,DL3TU/P
DL/AL-078,"Germany (Alpine)","Allgäuer Alpen","Kleiner Daumen",2191,7188,10.3861,47.4469,10.38610,47.44690,8,3,01/03/2004,31/12/2008,0,,
DL/AL-079,"Germany (Alpine)","Allgäuer Alpen",Rotspitze,2034,6673,10.36935,47.45948,10.36935,47.45948,8,3,01/03/2004,31/12/2024,3,21/09/2023,DK7MG/P
DL/AL-080,"Germany (Alpine)","Allgäuer Alpen",Breitenberg,1887,6191,10.3825,47.47,10.38250,47.47000,8,3,01/03/2004,31/12/2008,1,19/07/2008,DL4CW/P
DL/AL-081,"Germany (Alpine)","Allgäuer Alpen",Entschenkopf,2043,6703,10.33125,47.43649,10.33125,47.43649,8,3,01/03/2004,31/12/2099,8,12/06/2023,DG1EHM/P
DL/AL-082,"Germany (Alpine)","Allgäuer Alpen",Schnippenkopf,1833,6014,10.32726,47.45093,10.32726,47.45093,8,3,01/03/2004,31/12/2099,5,14/07/2022,DL/HB9HHO/P
DL/AL-083,"Germany (Alpine)","Allgäuer Alpen",Heidelbeerkopf,1767,5797,10.3297,47.4547,10.32970,47.45470,6,3,01/03/2004,31/12/2008,0,,
DL/AL-084,"Germany (Alpine)","Allgäuer Alpen",Sonnenkopf,1713,5620,10.33,47.4586,10.33000,47.45860,6,3,01/03/2004,31/12/2008,1,05/03/2004,DL3MP/P
DL/AL-085,"Germany (Alpine)","Allgäuer Alpen",Gernkopf,1566,5138,10.3428,47.4694,10.34280,47.46940,6,3,01/03/2004,31/12/2008,0,,
DL/AL-086,"Germany (Alpine)","Allgäuer Alpen","Imberger Horn",1655,5430,10.35698,47.48424,10.35698,47.48424,6,3,01/03/2004,31/12/2099,7,31/07/2023,DL/HB9HHO/P
DL/AL-087,"Germany (Alpine)","Allgäuer Alpen",Geishorn,2367,7766,10.1753,47.2878,10.17530,47.28780,10,3,01/03/2004,31/01/2018,5,04/10/2017,DG1EHM/P
DL/AL-088,"Germany (Alpine)","Allgäuer Alpen",Wildengundkopf,2197,7208,10.1842,47.2883,10.18420,47.28830,8,3,01/03/2004,31/12/2008,0,,
DL/AL-089,"Germany (Alpine)","Allgäuer Alpen",Liechelkopf,2383,7818,10.1794,47.2958,10.17940,47.29580,10,3,01/03/2004,31/12/2008,0,,
DL/AL-090,"Germany (Alpine)","Allgäuer Alpen",Angerkopf,2263,7425,10.1864,47.2939,10.18640,47.29390,10,3,01/03/2004,31/12/2008,0,,
DL/AL-091,"Germany (Alpine)","Allgäuer Alpen","Kemptner Kopf",2192,7192,10.1989,47.2975,10.19890,47.29750,8,3,01/03/2004,31/12/2008,0,,
DL/AL-092,"Germany (Alpine)","Allgäuer Alpen",Schafalpenkopf,2320,7612,10.21662,47.31056,10.21662,47.31056,10,3,01/03/2004,31/12/2099,3,19/07/2021,DG1EHM/P
DL/AL-093,"Germany (Alpine)","Allgäuer Alpen",Suedl.Hammerspitze,2260,7415,10.21117,47.31918,10.21117,47.31918,10,3,01/03/2004,31/12/2099,1,13/09/2016,DL3TU/P
DL/AL-094,"Germany (Alpine)","Allgäuer Alpen",Noerdl.Hammerspitze,2250,7382,10.2069,47.3214,10.20690,47.32140,10,3,01/03/2004,31/12/2008,0,,
DL/AL-095,"Germany (Alpine)","Allgäuer Alpen",Schuesser,2170,7119,10.1994,47.3264,10.19940,47.32640,8,3,01/03/2004,31/12/2008,0,,
DL/AL-096,"Germany (Alpine)","Allgäuer Alpen",Warmatsgundkopf,2059,6755,10.2078,47.3347,10.20780,47.33470,8,3,01/03/2004,31/12/2008,1,11/03/2004,DO6EG
DL/AL-097,"Germany (Alpine)","Allgäuer Alpen",Fellhorn,2037,6683,10.21758,47.3506,10.21758,47.35060,8,3,01/03/2004,31/12/2099,29,16/08/2024,DF6TG
DL/AL-098,"Germany (Alpine)","Allgäuer Alpen",Schlappolt,1986,6516,10.2236,47.3581,10.22360,47.35810,8,3,01/03/2004,31/12/2008,0,,
DL/AL-099,"Germany (Alpine)","Allgäuer Alpen",Soellereck,1706,5597,10.2375,47.3733,10.23750,47.37330,6,3,01/03/2004,31/12/2008,1,30/06/2004,DL3GE/P
DL/AL-100,"Germany (Alpine)","Allgäuer Alpen","Hoher Ifen",2230,7316,10.0997,47.3542,10.09970,47.35420,10,3,01/03/2004,31/01/2018,7,28/08/2016,DK2FK/P
DL/AL-101,"Germany (Alpine)","Allgäuer Alpen",Ob.Gottesackerwand,2033,6670,10.11711,47.37618,10.11711,47.37618,8,3,01/03/2004,31/12/2099,1,04/04/2013,DG1EHM/P
DL/AL-102,"Germany (Alpine)","Allgäuer Alpen",Torkopf,1930,6332,10.1292,47.3794,10.12920,47.37940,8,3,01/03/2004,31/12/2008,0,,
DL/AL-103,"Germany (Alpine)","Allgäuer Alpen",Unt.Gottesackerwand,1848,6063,10.1369,47.3847,10.13690,47.38470,8,3,01/03/2004,31/12/2008,0,,
DL/AL-104,"Germany (Alpine)","Allgäuer Alpen",Kackenkoepfe,1560,5118,10.18669,47.39879,10.18669,47.39879,6,3,01/03/2004,31/12/2099,2,30/10/2023,DK7MG/P
